participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919
60c442aafa8afba1988e2ba0,0,0.5,0.6722,0.865,0.8698510638297869,0.929
60c442aafa8afba1988e2ba0,1,0.5,0.6697000000000001,0.864,0.8812765957446809,0.9375
60c442aafa8afba1988e2ba0,2,0.5,0.6698999999999999,0.875,0.8666595744680842,0.93275
60c442aafa8afba1988e2ba0,3,0.5,0.6678999999999999,0.892,0.8682978723404257,0.94825
60c442aafa8afba1988e2ba0,4,0.5,0.6715,0.869,0.8741063829787228,0.92575
60c442aafa8afba1988e2ba0,5,0.5,0.6695,0.884,0.8777872340425522,0.9235
60a3a03bc01ba594c9cca88d,0,0.5,0.6795,0.869,0.8781914893617024,0.93725
60a3a03bc01ba594c9cca88d,1,0.5,0.6759,0.875,0.8727021276595742,0.93425
60a3a03bc01ba594c9cca88d,2,0.5,0.661,0.854,0.8614680851063827,0.92525
5fad5482f2e5c201d4a5cd76,0,0.5,0.6823999999999999,0.896,0.8551276595744681,0.902
5fad5482f2e5c201d4a5cd76,1,0.5,0.6779999999999999,1.0,0.8662978723404254,0.92
5fad5482f2e5c201d4a5cd76,2,0.5,0.6748000000000001,1.0,0.8622127659574457,0.92825
5fad5482f2e5c201d4a5cd76,3,0.5,0.6806000000000001,0.996,0.8582340425531915,0.945
5fad5482f2e5c201d4a5cd76,4,0.5,0.6765,1.0,0.8575957446808503,0.933
5fad5482f2e5c201d4a5cd76,5,0.5,0.6722999999999999,0.985,0.8391489361702124,0.90925
5f047d44d191116edb3cb798,0,0.5,0.6647000000000001,0.882,0.8754042553191491,0.94475
5f047d44d191116edb3cb798,1,0.5,0.6611,0.857,0.8705319148936164,0.9275
60ddc4cc0a3f074060092937,0,0.5,0.6612,0.86,0.8627659574468084,0.93225
5f1c55c8ea92af4d99d03137,0,0.5,0.6687,0.88,0.8820638297872334,0.94725
5f1c55c8ea92af4d99d03137,1,0.5,0.6821,0.884,0.8719361702127647,0.937
5f1c55c8ea92af4d99d03137,2,0.5,0.6771,0.871,0.8660212765957442,0.93175
5f1c55c8ea92af4d99d03137,3,0.5,0.6566000000000001,0.867,0.8556382978723398,0.92525
5f1c55c8ea92af4d99d03137,4,0.5,0.6595,0.863,0.8573404255319148,0.92625
5f1c55c8ea92af4d99d03137,5,0.5,0.6646000000000001,0.89,0.8609787234042544,0.9385
5f1c55c8ea92af4d99d03137,6,0.5,0.6745,0.865,0.8675744680851063,0.92725
5f1c55c8ea92af4d99d03137,7,0.5,0.6629,0.859,0.8601489361702126,0.924
5f1c55c8ea92af4d99d03137,8,0.5,0.6729,0.872,0.8672765957446809,0.943
5f1c55c8ea92af4d99d03137,9,0.5,0.6723000000000001,0.858,0.8620851063829783,0.92275
5f1c55c8ea92af4d99d03137,10,0.5,0.6718999999999999,0.868,0.8777021276595739,0.94025
5f1c55c8ea92af4d99d03137,11,0.5,0.669,0.869,0.8682765957446803,0.9395
