participant_id,iteration,fs,accuracy
,0,0.5,69.89999999999999
60c442aafa8afba1988e2ba0,0,0.5,69.8
60c442aafa8afba1988e2ba0,1,0.5,70.1
60a3a03bc01ba594c9cca88d,0,0.5,70.89999999999999
60a3a03bc01ba594c9cca88d,1,0.5,71.0
60a3a03bc01ba594c9cca88d,2,0.5,70.8
5fad5482f2e5c201d4a5cd76,0,0.5,71.5
5fad5482f2e5c201d4a5cd76,1,0.5,71.1
5f047d44d191116edb3cb798,0,0.5,70.0
5f047d44d191116edb3cb798,1,0.5,70.1
5f047d44d191116edb3cb798,2,0.5,71.8
5f047d44d191116edb3cb798,3,0.5,70.19999999999999
5f047d44d191116edb3cb798,4,0.5,70.89999999999999
60ddc4cc0a3f074060092937,0,0.5,69.5
60ddc4cc0a3f074060092937,1,0.5,70.89999999999999
60ddc4cc0a3f074060092937,2,0.5,69.8
60ddc4cc0a3f074060092937,3,0.5,71.2
60ddc4cc0a3f074060092937,4,0.5,69.69999999999999
60ddc4cc0a3f074060092937,5,0.5,70.5
60ddc4cc0a3f074060092937,6,0.5,69.5
60ddc4cc0a3f074060092937,7,0.5,69.69999999999999
60ddc4cc0a3f074060092937,8,0.5,72.2
60ddc4cc0a3f074060092937,9,0.5,71.6
60ddc4cc0a3f074060092937,10,0.5,71.7
60ddc4cc0a3f074060092937,11,0.5,71.39999999999999
63ced242b56ce9d796f4398b,0,0.5,71.1
63ced242b56ce9d796f4398b,1,0.5,70.19999999999999
63ced242b56ce9d796f4398b,2,0.5,70.1
6116920ff5bcc6aa24f00927,0,0.5,71.0
6116920ff5bcc6aa24f00927,1,0.5,71.7
6116920ff5bcc6aa24f00927,2,0.5,70.1
6116920ff5bcc6aa24f00927,3,0.5,69.89999999999999
6116920ff5bcc6aa24f00927,4,0.5,69.89999999999999
6116920ff5bcc6aa24f00927,5,0.5,70.39999999999999
6116920ff5bcc6aa24f00927,6,0.5,69.69999999999999
5d9b4e21b56c51035c35cb3d,0,0.5,70.89999999999999
5d9b4e21b56c51035c35cb3d,1,0.5,71.5
5d9b4e21b56c51035c35cb3d,2,0.5,69.5
5d9b4e21b56c51035c35cb3d,3,0.5,69.39999999999999
5d9b4e21b56c51035c35cb3d,4,0.5,68.89999999999999
5d9b4e21b56c51035c35cb3d,5,0.5,70.0
5d9b4e21b56c51035c35cb3d,6,0.5,69.6
5d9b4e21b56c51035c35cb3d,7,0.5,71.0
5d9b4e21b56c51035c35cb3d,8,0.5,71.89999999999999
5d9b4e21b56c51035c35cb3d,9,0.5,69.19999999999999
5d9b4e21b56c51035c35cb3d,10,0.5,70.39999999999999
5d9b4e21b56c51035c35cb3d,11,0.5,69.6
5d9b4e21b56c51035c35cb3d,12,0.5,69.6
5d9b4e21b56c51035c35cb3d,13,0.5,70.8
5d9b4e21b56c51035c35cb3d,14,0.5,71.7
5d9b4e21b56c51035c35cb3d,15,0.5,70.0
5d9b4e21b56c51035c35cb3d,16,0.5,69.39999999999999
5d9b4e21b56c51035c35cb3d,17,0.5,70.39999999999999
5d9b4e21b56c51035c35cb3d,18,0.5,69.5
5d9b4e21b56c51035c35cb3d,19,0.5,69.3
5d9b4e21b56c51035c35cb3d,20,0.5,70.6
5d9b4e21b56c51035c35cb3d,21,0.5,71.5
5fdb9ccbe6b281016f79a732,0,0.5,71.39999999999999
5fdb9ccbe6b281016f79a732,1,0.5,70.39999999999999
5fdb9ccbe6b281016f79a732,2,0.5,72.2
5fdb9ccbe6b281016f79a732,3,0.5,69.19999999999999
5fdb9ccbe6b281016f79a732,4,0.5,69.6
5fdb9ccbe6b281016f79a732,5,0.5,70.39999999999999
5fdb9ccbe6b281016f79a732,6,0.5,70.5
5fdb9ccbe6b281016f79a732,7,0.5,69.69999999999999
60febbf6684ed23d1eec2db6,0,0.5,70.1
60febbf6684ed23d1eec2db6,1,0.5,70.6
60febbf6684ed23d1eec2db6,2,0.5,71.6
60febbf6684ed23d1eec2db6,3,0.5,70.8
60febbf6684ed23d1eec2db6,4,0.5,71.7
60febbf6684ed23d1eec2db6,5,0.5,69.39999999999999
60febbf6684ed23d1eec2db6,6,0.5,68.60000000000001
654ce65838678c566569c723,0,0.5,69.5
654ce65838678c566569c723,1,0.5,70.89999999999999
654ce65838678c566569c723,2,0.5,69.8
654ce65838678c566569c723,3,0.5,71.8
64f9f86e6bf2358fd13945f1,0,0.5,71.3
64f9f86e6bf2358fd13945f1,1,0.5,72.1
64f9f86e6bf2358fd13945f1,2,0.5,67.9
6507355f07adea6bb9abb279,0,0.5,71.39999999999999
6507355f07adea6bb9abb279,1,0.5,70.3
6507355f07adea6bb9abb279,2,0.5,69.19999999999999
6507355f07adea6bb9abb279,3,0.5,71.0
6507355f07adea6bb9abb279,4,0.5,71.6
6507355f07adea6bb9abb279,5,0.5,70.8
6507355f07adea6bb9abb279,6,0.5,71.2
6507355f07adea6bb9abb279,7,0.5,70.3
6507355f07adea6bb9abb279,8,0.5,70.7
6507355f07adea6bb9abb279,9,0.5,70.0
6507355f07adea6bb9abb279,10,0.5,70.3
6507355f07adea6bb9abb279,11,0.5,70.3
5eceef5fa487421604c337ba,0,0.5,71.2
5eceef5fa487421604c337ba,1,0.5,69.89999999999999
5eceef5fa487421604c337ba,2,0.5,71.7
5eceef5fa487421604c337ba,3,0.5,70.7
5eceef5fa487421604c337ba,4,0.5,71.89999999999999
5eceef5fa487421604c337ba,5,0.5,72.3
5eceef5fa487421604c337ba,6,0.5,70.39999999999999
5eceef5fa487421604c337ba,7,0.5,69.3
5eceef5fa487421604c337ba,8,0.5,70.39999999999999
5eceef5fa487421604c337ba,9,0.5,69.5
5eceef5fa487421604c337ba,10,0.5,71.1
5f600669b846780f0fe45709,0,0.5,71.5
5f600669b846780f0fe45709,1,0.5,70.5
605b98c83da1ded576bcf096,0,0.5,70.1
605b98c83da1ded576bcf096,1,0.5,70.7
605b98c83da1ded576bcf096,2,0.5,70.89999999999999
605b98c83da1ded576bcf096,3,0.5,70.7
605b98c83da1ded576bcf096,4,0.5,71.7
605b98c83da1ded576bcf096,5,0.5,70.5
605b98c83da1ded576bcf096,6,0.5,70.89999999999999
605b98c83da1ded576bcf096,7,0.5,70.7
605b98c83da1ded576bcf096,8,0.5,70.89999999999999
605b98c83da1ded576bcf096,9,0.5,70.8
605b98c83da1ded576bcf096,10,0.5,71.0
605b98c83da1ded576bcf096,11,0.5,70.0
60a2541c0e5a829853aad745,0,0.5,70.89999999999999
60a2541c0e5a829853aad745,1,0.5,69.1
60a2541c0e5a829853aad745,2,0.5,70.6
61684bae4ac887b438246ff6,0,0.5,70.1
61684bae4ac887b438246ff6,1,0.5,71.0
61684bae4ac887b438246ff6,2,0.5,70.39999999999999
61684bae4ac887b438246ff6,3,0.5,71.7
61684bae4ac887b438246ff6,4,0.5,72.3
61684bae4ac887b438246ff6,5,0.5,69.3
61684bae4ac887b438246ff6,6,0.5,69.0
61684bae4ac887b438246ff6,7,0.5,71.5
61684bae4ac887b438246ff6,8,0.5,68.60000000000001
61684bae4ac887b438246ff6,9,0.5,70.19999999999999
61684bae4ac887b438246ff6,10,0.5,70.89999999999999
61684bae4ac887b438246ff6,11,0.5,68.8
61684bae4ac887b438246ff6,12,0.5,71.1
6136cb52db0f1cb2262bbf5d,0,0.5,70.1
6136cb52db0f1cb2262bbf5d,1,0.5,70.39999999999999
6136cb52db0f1cb2262bbf5d,2,0.5,72.1
6136cb52db0f1cb2262bbf5d,3,0.5,69.69999999999999
5c8bafb53b6f3d00013d7c30,0,0.5,70.1
5c8bafb53b6f3d00013d7c30,1,0.5,72.5
5c8bafb53b6f3d00013d7c30,2,0.5,70.7
5c8bafb53b6f3d00013d7c30,3,0.5,72.89999999999999
5c8bafb53b6f3d00013d7c30,4,0.5,72.2
60513ec07ee46769ed029be4,0,0.5,70.19999999999999
60513ec07ee46769ed029be4,1,0.5,71.39999999999999
60513ec07ee46769ed029be4,2,0.5,71.6
6511fd9e06231927b6398700,0,0.5,68.5
6511fd9e06231927b6398700,1,0.5,68.7
6511fd9e06231927b6398700,2,0.5,71.2
6505e1d7baa4d89f7a2f3b53,0,0.5,71.5
6505e1d7baa4d89f7a2f3b53,1,0.5,72.3
6505e1d7baa4d89f7a2f3b53,2,0.5,71.6
6505e1d7baa4d89f7a2f3b53,3,0.5,71.39999999999999
5f60713e595007000a8e1da7,0,0.5,70.0
5f60713e595007000a8e1da7,1,0.5,71.1
5f60713e595007000a8e1da7,2,0.5,69.69999999999999
5f60713e595007000a8e1da7,3,0.5,73.0
60b7bb77c573c1a28d072811,0,0.5,70.1
60b7bb77c573c1a28d072811,1,0.5,72.3
60b7bb77c573c1a28d072811,2,0.5,71.5
60b7bb77c573c1a28d072811,3,0.5,72.0
60b7bb77c573c1a28d072811,4,0.5,69.5
60b7bb77c573c1a28d072811,5,0.5,71.8
60b7bb77c573c1a28d072811,6,0.5,69.39999999999999
60b7bb77c573c1a28d072811,7,0.5,71.3
60b7bb77c573c1a28d072811,8,0.5,70.5
60b7bb77c573c1a28d072811,9,0.5,69.6
60b7bb77c573c1a28d072811,10,0.5,68.5
60b7bb77c573c1a28d072811,11,0.5,71.5
60b7bb77c573c1a28d072811,12,0.5,68.60000000000001
60b7bb77c573c1a28d072811,13,0.5,69.69999999999999
5d4dbe7df20feb00010b596d,0,0.5,71.0
5d4dbe7df20feb00010b596d,1,0.5,72.0
5f913cbf314c3d000982e130,0,0.5,70.8
5f913cbf314c3d000982e130,1,0.5,72.0
5f913cbf314c3d000982e130,2,0.5,71.0
5f913cbf314c3d000982e130,3,0.5,69.19999999999999
5f913cbf314c3d000982e130,4,0.5,71.0
5f913cbf314c3d000982e130,5,0.5,70.5
61183bece4c3e63512e3eb5d,0,0.5,71.7
61183bece4c3e63512e3eb5d,1,0.5,70.0
61183bece4c3e63512e3eb5d,2,0.5,72.3
61183bece4c3e63512e3eb5d,3,0.5,70.1
61183bece4c3e63512e3eb5d,4,0.5,68.5
61183bece4c3e63512e3eb5d,5,0.5,70.6
61183bece4c3e63512e3eb5d,6,0.5,70.7
608ab7f46594ee2bcc835f69,0,0.5,69.5
608ab7f46594ee2bcc835f69,1,0.5,68.7
608ab7f46594ee2bcc835f69,2,0.5,70.6
