participant_id,iteration,fs,accuracy
,0,0.5,69.89999999999999
60c442aafa8afba1988e2ba0,0,0.5,70.1
60c442aafa8afba1988e2ba0,1,0.5,71.0
60c442aafa8afba1988e2ba0,2,0.5,70.3
60c442aafa8afba1988e2ba0,3,0.5,72.0
60c442aafa8afba1988e2ba0,4,0.5,72.39999999999999
60c442aafa8afba1988e2ba0,5,0.5,72.0
60c442aafa8afba1988e2ba0,6,0.5,68.89999999999999
60c442aafa8afba1988e2ba0,7,0.5,70.7
60c442aafa8afba1988e2ba0,8,0.5,69.89999999999999
60c442aafa8afba1988e2ba0,9,0.5,72.5
60c442aafa8afba1988e2ba0,10,0.5,70.1
60a3a03bc01ba594c9cca88d,0,0.5,69.5
60a3a03bc01ba594c9cca88d,1,0.5,70.89999999999999
60a3a03bc01ba594c9cca88d,2,0.5,70.8
60a3a03bc01ba594c9cca88d,3,0.5,70.8
60a3a03bc01ba594c9cca88d,4,0.5,69.5
60a3a03bc01ba594c9cca88d,5,0.5,71.8
60a3a03bc01ba594c9cca88d,6,0.5,70.7
60a3a03bc01ba594c9cca88d,7,0.5,71.2
60a3a03bc01ba594c9cca88d,8,0.5,72.1
60a3a03bc01ba594c9cca88d,9,0.5,72.39999999999999
60a3a03bc01ba594c9cca88d,10,0.5,72.2
60a3a03bc01ba594c9cca88d,11,0.5,70.0
60a3a03bc01ba594c9cca88d,12,0.5,69.6
60a3a03bc01ba594c9cca88d,13,0.5,71.89999999999999
60a3a03bc01ba594c9cca88d,14,0.5,70.5
60a3a03bc01ba594c9cca88d,15,0.5,69.89999999999999
60a3a03bc01ba594c9cca88d,16,0.5,70.39999999999999
60a3a03bc01ba594c9cca88d,17,0.5,70.7
60a3a03bc01ba594c9cca88d,18,0.5,70.19999999999999
60a3a03bc01ba594c9cca88d,19,0.5,71.5
60a3a03bc01ba594c9cca88d,20,0.5,69.19999999999999
60a3a03bc01ba594c9cca88d,21,0.5,70.1
60a3a03bc01ba594c9cca88d,22,0.5,70.6
5fad5482f2e5c201d4a5cd76,0,0.5,71.5
5fad5482f2e5c201d4a5cd76,1,0.5,72.0
5fad5482f2e5c201d4a5cd76,2,0.5,71.39999999999999
5fad5482f2e5c201d4a5cd76,3,0.5,70.5
5fad5482f2e5c201d4a5cd76,4,0.5,70.1
5fad5482f2e5c201d4a5cd76,5,0.5,71.5
5fad5482f2e5c201d4a5cd76,6,0.5,71.7
5fad5482f2e5c201d4a5cd76,7,0.5,69.3
5fad5482f2e5c201d4a5cd76,8,0.5,70.6
5fad5482f2e5c201d4a5cd76,9,0.5,70.19999999999999
5fad5482f2e5c201d4a5cd76,10,0.5,70.3
5fad5482f2e5c201d4a5cd76,11,0.5,71.1
5fad5482f2e5c201d4a5cd76,12,0.5,71.6
5fad5482f2e5c201d4a5cd76,13,0.5,69.19999999999999
5fad5482f2e5c201d4a5cd76,14,0.5,70.0
5fad5482f2e5c201d4a5cd76,15,0.5,69.5
5fad5482f2e5c201d4a5cd76,16,0.5,70.0
5fad5482f2e5c201d4a5cd76,17,0.5,70.1
5fad5482f2e5c201d4a5cd76,18,0.5,68.8
5fad5482f2e5c201d4a5cd76,19,0.5,71.39999999999999
5fad5482f2e5c201d4a5cd76,20,0.5,70.8
5f047d44d191116edb3cb798,0,0.5,70.6
5f047d44d191116edb3cb798,1,0.5,70.39999999999999
5f047d44d191116edb3cb798,2,0.5,70.7
5f047d44d191116edb3cb798,3,0.5,70.7
5f047d44d191116edb3cb798,4,0.5,70.19999999999999
5f047d44d191116edb3cb798,5,0.5,69.89999999999999
5f047d44d191116edb3cb798,6,0.5,70.89999999999999
5f047d44d191116edb3cb798,7,0.5,69.89999999999999
5f047d44d191116edb3cb798,8,0.5,70.1
5f047d44d191116edb3cb798,9,0.5,70.19999999999999
5f047d44d191116edb3cb798,10,0.5,70.1
5f047d44d191116edb3cb798,11,0.5,68.7
5f047d44d191116edb3cb798,12,0.5,69.89999999999999
5f047d44d191116edb3cb798,13,0.5,69.0
5f047d44d191116edb3cb798,14,0.5,68.0
5f047d44d191116edb3cb798,15,0.5,70.19999999999999
5f047d44d191116edb3cb798,16,0.5,69.89999999999999
5f047d44d191116edb3cb798,17,0.5,70.19999999999999
5f047d44d191116edb3cb798,18,0.5,69.3
5f047d44d191116edb3cb798,19,0.5,70.5
5f047d44d191116edb3cb798,20,0.5,70.1
5f047d44d191116edb3cb798,21,0.5,68.10000000000001
5f047d44d191116edb3cb798,22,0.5,68.30000000000001
