Feature,DemographicParityRatio,AverageOddsDifference,fs,iteration,participant_id
DEF_60_CNT_SOCIAL_CIRCLE,0.7737003058103975,0.13277316498701322,0.5,394,
YEARS_LAST_PHONE_CHANGE,0.7683125339120997,0.17875545748771335,0.5,394,
AMT_REQ_CREDIT_BUREAU_HOUR,0.9148873072360616,0.3801963325652842,0.5,394,
AMT_REQ_CREDIT_BUREAU_DAY,0.5,0.39986910994764396,0.5,394,
AMT_REQ_CREDIT_BUREAU_WEEK,0.0,0.7251322751322751,0.5,394,
AMT_REQ_CREDIT_BUREAU_MON,0.8748487598306111,0.16415319237147596,0.5,394,
AMT_REQ_CREDIT_BUREAU_QRT,0.8305037205695524,0.1857686023127199,0.5,394,
AMT_REQ_CREDIT_BUREAU_YEAR,0.935007077058728,0.07625359060821779,0.5,394,
NAME_CONTRACT_TYPE,0.770769508019463,0.21696970032824803,0.5,394,
CODE_GENDER,0.8296296296296296,0.15930277857843003,0.5,394,
FLAG_OWN_CAR,0.8011270600744285,0.10613604471699506,0.5,394,
FLAG_OWN_REALTY,0.9070643642072213,0.07690011376236286,0.5,394,
NAME_TYPE_SUITE,0.6857142857142857,0.40123034859876966,0.5,394,
NAME_INCOME_TYPE,0.7578849721706865,0.248964687794475,0.5,394,
NAME_EDUCATION_TYPE,0.5588235294117647,0.4115151515151515,0.5,394,
NAME_FAMILY_STATUS,0.7452135493372606,0.2310639326431132,0.5,394,
NAME_HOUSING_TYPE,0.4,0.7307692307692308,0.5,394,
OCCUPATION_TYPE,0.2727272727272727,1.0,0.5,394,
WEEKDAY_APPR_PROCESS_START,0.847702929981411,0.15746248700794155,0.5,394,
ORGANIZATION_TYPE,0.0,1.0,0.5,394,
