participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919
60c442aafa8afba1988e2ba0,0,0.5,0.6689,0.859,0.8667659574468083,0.9315
60c442aafa8afba1988e2ba0,1,0.5,0.6853,0.869,0.8688085106382972,0.9455
60c442aafa8afba1988e2ba0,2,0.5,0.6622,0.866,0.8583404255319139,0.9285
60c442aafa8afba1988e2ba0,3,0.5,0.6733,0.861,0.8564893617021269,0.945
60c442aafa8afba1988e2ba0,4,0.5,0.6784,0.886,0.8664042553191483,0.94125
60c442aafa8afba1988e2ba0,5,0.5,0.6776,0.874,0.8680212765957428,0.929
60a3a03bc01ba594c9cca88d,0,0.5,0.665,0.87,0.8792340425531902,0.9305
60a3a03bc01ba594c9cca88d,1,0.5,0.665,0.87,0.8792340425531902,0.9305
60a3a03bc01ba594c9cca88d,2,0.5,0.6699999999999999,0.866,0.8577234042553192,0.917
5fad5482f2e5c201d4a5cd76,0,0.5,0.6675,0.912,0.8515319148936177,0.92175
5fad5482f2e5c201d4a5cd76,1,0.5,0.6782,1.0,0.8549148936170207,0.9205
5fad5482f2e5c201d4a5cd76,2,0.5,0.6838,1.0,0.8479999999999994,0.93625
5fad5482f2e5c201d4a5cd76,3,0.5,0.6694,1.0,0.8508085106382982,0.91975
5fad5482f2e5c201d4a5cd76,4,0.5,0.6756,1.0,0.8435319148936168,0.9145
5fad5482f2e5c201d4a5cd76,5,0.5,0.6731,1.0,0.84031914893617,0.92
5f047d44d191116edb3cb798,0,0.5,0.675,0.875,0.8625531914893618,0.925
5f047d44d191116edb3cb798,1,0.5,0.6598999999999999,0.872,0.8745106382978717,0.93475
60ddc4cc0a3f074060092937,0,0.5,0.6673,0.866,0.8707021276595743,0.92125
5f1c55c8ea92af4d99d03137,0,0.5,0.6868,0.872,0.8737234042553182,0.92175
5f1c55c8ea92af4d99d03137,1,0.5,0.6723,0.874,0.8687234042553182,0.9205
5f1c55c8ea92af4d99d03137,2,0.5,0.6723,0.868,0.8698510638297867,0.91925
5f1c55c8ea92af4d99d03137,3,0.5,0.6838,0.867,0.8739148936170208,0.9295
5f1c55c8ea92af4d99d03137,4,0.5,0.6887000000000001,0.895,0.8827234042553195,0.93625
