participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919
60c442aafa8afba1988e2ba0,0,0.5,0.6675,0.869,0.8612978723404245,0.9225
60c442aafa8afba1988e2ba0,1,0.5,0.6644000000000001,0.88,0.8548297872340421,0.9305
60a3a03bc01ba594c9cca88d,0,0.5,0.6682999999999999,0.867,0.8587234042553192,0.93625
60a3a03bc01ba594c9cca88d,1,0.5,0.6672,0.869,0.863978723404254,0.903
60a3a03bc01ba594c9cca88d,2,0.5,0.6801999999999999,0.876,0.8711063829787233,0.93675
5fad5482f2e5c201d4a5cd76,0,0.5,0.6804,0.892,0.866148936170213,0.93925
5fad5482f2e5c201d4a5cd76,1,0.5,0.6658999999999999,0.878,0.8626595744680837,0.934
5f047d44d191116edb3cb798,0,0.5,0.65,0.889,0.8557446808510645,0.9355
5f047d44d191116edb3cb798,1,0.5,0.6674,0.875,0.8725744680851066,0.945
5f047d44d191116edb3cb798,2,0.5,0.6811,0.852,0.8662127659574466,0.933
5f047d44d191116edb3cb798,3,0.5,0.6693,0.881,0.8510212765957444,0.928
5f047d44d191116edb3cb798,4,0.5,0.6687,0.859,0.8539574468085105,0.928
60ddc4cc0a3f074060092937,0,0.5,0.6704000000000001,0.864,0.8619361702127657,0.932
60ddc4cc0a3f074060092937,1,0.5,0.6734,0.875,0.8735319148936173,0.93025
60ddc4cc0a3f074060092937,2,0.5,0.6713,0.86,0.8552553191489354,0.9285
60ddc4cc0a3f074060092937,3,0.5,0.6627000000000001,0.88,0.8758936170212761,0.91575
60ddc4cc0a3f074060092937,4,0.5,0.6692,0.878,0.8509999999999995,0.9075
60ddc4cc0a3f074060092937,5,0.5,0.6612,0.869,0.8741063829787217,0.9075
60ddc4cc0a3f074060092937,6,0.5,0.6582999999999999,0.874,0.874425531914894,0.918
60ddc4cc0a3f074060092937,7,0.5,0.6541,0.883,0.8712765957446807,0.91
60ddc4cc0a3f074060092937,8,0.5,0.6658,0.863,0.8711063829787229,0.9
60ddc4cc0a3f074060092937,9,0.5,0.669,0.855,0.8794255319148935,0.90425
60ddc4cc0a3f074060092937,10,0.5,0.6631,0.871,0.8676595744680844,0.904
60ddc4cc0a3f074060092937,11,0.5,0.6596,0.878,0.863851063829787,0.91925
63ced242b56ce9d796f4398b,0,0.5,0.6705,0.896,0.8795319148936174,0.93975
63ced242b56ce9d796f4398b,1,0.5,0.6640999999999999,0.863,0.8697234042553187,0.91725
63ced242b56ce9d796f4398b,2,0.5,0.6746000000000001,0.859,0.8911914893617022,0.94325
6116920ff5bcc6aa24f00927,0,0.5,0.6753,0.871,0.8578510638297873,0.93075
6116920ff5bcc6aa24f00927,1,0.5,0.6757,0.863,0.8700638297872336,0.93175
6116920ff5bcc6aa24f00927,2,0.5,0.6688000000000001,0.887,0.8741063829787227,0.93375
6116920ff5bcc6aa24f00927,3,0.5,0.6558999999999999,0.871,0.8700638297872336,0.9355
6116920ff5bcc6aa24f00927,4,0.5,0.6861,0.874,0.8755106382978716,0.93425
6116920ff5bcc6aa24f00927,5,0.5,0.6793,0.872,0.8778936170212753,0.93375
6116920ff5bcc6aa24f00927,6,0.5,0.6666000000000001,0.879,0.8790638297872334,0.9375
5d9b4e21b56c51035c35cb3d,0,0.5,0.6682999999999999,0.867,0.8587234042553192,0.93625
5d9b4e21b56c51035c35cb3d,1,0.5,0.6741,0.853,0.858042553191489,0.94075
5d9b4e21b56c51035c35cb3d,2,0.5,0.6659999999999999,0.86,0.8691914893617008,0.925
5d9b4e21b56c51035c35cb3d,3,0.5,0.6635,0.885,0.8681063829787227,0.94325
5d9b4e21b56c51035c35cb3d,4,0.5,0.6575,0.859,0.8685957446808504,0.93225
5d9b4e21b56c51035c35cb3d,5,0.5,0.6676,0.863,0.8733617021276591,0.931
5d9b4e21b56c51035c35cb3d,6,0.5,0.6604,0.88,0.8659574468085096,0.9265
5d9b4e21b56c51035c35cb3d,7,0.5,0.6744000000000001,0.872,0.8602340425531915,0.9375
5d9b4e21b56c51035c35cb3d,8,0.5,0.6741,0.874,0.8565744680851052,0.931
5d9b4e21b56c51035c35cb3d,9,0.5,0.6605,0.864,0.8537446808510637,0.924
5d9b4e21b56c51035c35cb3d,10,0.5,0.6629,0.874,0.8580851063829779,0.94275
5d9b4e21b56c51035c35cb3d,11,0.5,0.6859,0.862,0.852276595744681,0.941
5d9b4e21b56c51035c35cb3d,12,0.5,0.6667000000000001,0.881,0.8628936170212764,0.93075
5d9b4e21b56c51035c35cb3d,13,0.5,0.6751,0.879,0.8673617021276594,0.93375
5d9b4e21b56c51035c35cb3d,14,0.5,0.6823999999999999,0.883,0.8539787234042554,0.93625
5d9b4e21b56c51035c35cb3d,15,0.5,0.6643000000000001,0.871,0.8569574468085105,0.932
5d9b4e21b56c51035c35cb3d,16,0.5,0.6624,0.862,0.8455744680851062,0.93325
5d9b4e21b56c51035c35cb3d,17,0.5,0.6781,0.861,0.8323191489361691,0.9405
5d9b4e21b56c51035c35cb3d,18,0.5,0.6654,0.877,0.8474255319148933,0.93025
5d9b4e21b56c51035c35cb3d,19,0.5,0.6719999999999999,0.889,0.864978723404255,0.91375
5d9b4e21b56c51035c35cb3d,20,0.5,0.6663,0.885,0.8529148936170207,0.91925
5d9b4e21b56c51035c35cb3d,21,0.5,0.6753,0.889,0.8617659574468077,0.91375
5fdb9ccbe6b281016f79a732,0,0.5,0.6855,0.865,0.8676170212765951,0.92975
5fdb9ccbe6b281016f79a732,1,0.5,0.6698,0.862,0.8630425531914885,0.9405
5fdb9ccbe6b281016f79a732,2,0.5,0.6682,0.876,0.8482765957446807,0.93875
5fdb9ccbe6b281016f79a732,3,0.5,0.6636,0.88,0.8655531914893604,0.93425
5fdb9ccbe6b281016f79a732,4,0.5,0.6755,0.878,0.8502127659574473,0.93625
5fdb9ccbe6b281016f79a732,5,0.5,0.6629,0.887,0.870702127659574,0.9345
5fdb9ccbe6b281016f79a732,6,0.5,0.6658,0.884,0.8505319148936158,0.927
5fdb9ccbe6b281016f79a732,7,0.5,0.6697000000000001,0.885,0.8643829787234034,0.93475
60febbf6684ed23d1eec2db6,0,0.5,0.6569,0.858,0.8857659574468083,0.92425
60febbf6684ed23d1eec2db6,1,0.5,0.6664,0.886,0.8801276595744676,0.93975
60febbf6684ed23d1eec2db6,2,0.5,0.6648000000000001,0.877,0.8795531914893617,0.94775
60febbf6684ed23d1eec2db6,3,0.5,0.6715,0.876,0.8660638297872333,0.934
60febbf6684ed23d1eec2db6,4,0.5,0.6731,0.89,0.8661702127659566,0.93325
60febbf6684ed23d1eec2db6,5,0.5,0.6602,0.875,0.8618936170212762,0.9275
60febbf6684ed23d1eec2db6,6,0.5,0.6593,0.877,0.8659361702127651,0.9275
654ce65838678c566569c723,0,0.5,0.6704000000000001,0.864,0.8619361702127657,0.932
654ce65838678c566569c723,1,0.5,0.6734,0.875,0.8735319148936173,0.93025
654ce65838678c566569c723,2,0.5,0.6713,0.86,0.8552553191489354,0.9285
654ce65838678c566569c723,3,0.5,0.6791,0.864,0.878659574468085,0.94025
64f9f86e6bf2358fd13945f1,0,0.5,0.6626000000000001,0.875,0.8787872340425539,0.936
64f9f86e6bf2358fd13945f1,1,0.5,0.6859,0.883,0.8721914893617011,0.93475
64f9f86e6bf2358fd13945f1,2,0.5,0.6617999999999999,0.873,0.8759999999999993,0.93325
6507355f07adea6bb9abb279,0,0.5,0.6645,0.866,0.881063829787234,0.9465
6507355f07adea6bb9abb279,1,0.5,0.6767,0.851,0.863297872340424,0.92675
6507355f07adea6bb9abb279,2,0.5,0.6586000000000001,0.867,0.8772127659574469,0.93475
6507355f07adea6bb9abb279,3,0.5,0.6734,0.867,0.8738297872340415,0.92475
6507355f07adea6bb9abb279,4,0.5,0.6937,0.9,0.8868723404255319,0.92375
6507355f07adea6bb9abb279,5,0.5,0.6756,0.871,0.8737659574468086,0.92625
6507355f07adea6bb9abb279,6,0.5,0.6703,0.874,0.8693191489361713,0.929
6507355f07adea6bb9abb279,7,0.5,0.6847000000000001,0.872,0.8833617021276593,0.93175
6507355f07adea6bb9abb279,8,0.5,0.6719999999999999,0.883,0.892212765957447,0.9285
6507355f07adea6bb9abb279,9,0.5,0.6796,0.863,0.8763829787234041,0.927
6507355f07adea6bb9abb279,10,0.5,0.6705,0.866,0.8853617021276591,0.9415
6507355f07adea6bb9abb279,11,0.5,0.6620999999999999,0.889,0.8668085106382971,0.9385
5eceef5fa487421604c337ba,0,0.5,0.6693,0.865,0.8576595744680836,0.93525
5eceef5fa487421604c337ba,1,0.5,0.665,0.867,0.857319148936168,0.94225
5eceef5fa487421604c337ba,2,0.5,0.6745,0.87,0.8583191489361689,0.9255
5eceef5fa487421604c337ba,3,0.5,0.6644,0.873,0.8589999999999989,0.9265
5eceef5fa487421604c337ba,4,0.5,0.6769000000000001,0.886,0.8701914893617021,0.92975
5eceef5fa487421604c337ba,5,0.5,0.6702999999999999,0.873,0.8449999999999992,0.944
5eceef5fa487421604c337ba,6,0.5,0.6592,0.877,0.8491489361702129,0.93825
5eceef5fa487421604c337ba,7,0.5,0.6718999999999999,0.868,0.8557446808510634,0.9355
5eceef5fa487421604c337ba,8,0.5,0.6704,0.884,0.852063829787233,0.92725
5eceef5fa487421604c337ba,9,0.5,0.6698,0.868,0.8512340425531915,0.9385
5eceef5fa487421604c337ba,10,0.5,0.6702,0.898,0.8447659574468075,0.93675
5f600669b846780f0fe45709,0,0.5,0.6708,0.862,0.8647872340425519,0.929
5f600669b846780f0fe45709,1,0.5,0.6649,0.891,0.8695319148936161,0.94875
605b98c83da1ded576bcf096,0,0.5,0.6569,0.858,0.8857659574468083,0.92425
605b98c83da1ded576bcf096,1,0.5,0.6717,0.874,0.8623829787234039,0.9125
605b98c83da1ded576bcf096,2,0.5,0.6719999999999999,0.877,0.8837659574468083,0.92375
605b98c83da1ded576bcf096,3,0.5,0.6734,0.87,0.8772340425531909,0.9405
605b98c83da1ded576bcf096,4,0.5,0.6773,0.862,0.8873617021276589,0.9365
605b98c83da1ded576bcf096,5,0.5,0.6679999999999999,0.873,0.8630425531914889,0.92875
605b98c83da1ded576bcf096,6,0.5,0.6726,0.88,0.8765531914893606,0.95075
