participant_id,iteration,fs,consistency,counterfactual_CODE_GENDER,counterfactual_AGE,counterfactual_NAME_FAMILY_STATUS,CMA_consistency,CMA_counterfactual_CODE_GENDER,CMA_counterfactual_AGE,CMA_counterfactual_NAME_FAMILY_STATUS
,0,0.5,0.6681,0.882,0.8496382978723396,0.919,,,,
60c442aafa8afba1988e2ba0,0,0.5,0.6675,0.869,0.8612978723404245,0.9225,0.6675,0.869,0.8612978723404245,0.9225
60c442aafa8afba1988e2ba0,1,0.5,0.6644000000000001,0.88,0.8548297872340421,0.9305,0.66595,0.8745,0.8580638297872334,0.9265
60a3a03bc01ba594c9cca88d,0,0.5,0.6682999999999999,0.867,0.8587234042553192,0.93625,0.6682999999999999,0.867,0.8587234042553192,0.93625
60a3a03bc01ba594c9cca88d,1,0.5,0.6672,0.869,0.863978723404254,0.903,0.66775,0.868,0.8613510638297865,0.919625
60a3a03bc01ba594c9cca88d,2,0.5,0.6801999999999999,0.876,0.8711063829787233,0.93675,0.6718999999999999,0.8706666666666667,0.8646028368794322,0.9253333333333332
5fad5482f2e5c201d4a5cd76,0,0.5,0.6804,0.892,0.866148936170213,0.93925,0.6804,0.892,0.866148936170213,0.93925
5fad5482f2e5c201d4a5cd76,1,0.5,0.6658999999999999,0.878,0.8626595744680837,0.934,0.6731499999999999,0.885,0.8644042553191484,0.936625
5f047d44d191116edb3cb798,0,0.5,0.65,0.889,0.8557446808510645,0.9355,0.65,0.889,0.8557446808510645,0.9355
5f047d44d191116edb3cb798,1,0.5,0.6674,0.875,0.8725744680851066,0.945,0.6587000000000001,0.882,0.8641595744680856,0.94025
5f047d44d191116edb3cb798,2,0.5,0.6811,0.852,0.8662127659574466,0.933,0.6661666666666667,0.872,0.8648439716312059,0.9378333333333333
5f047d44d191116edb3cb798,3,0.5,0.6693,0.881,0.8510212765957444,0.928,0.66695,0.87425,0.8613882978723405,0.9353750000000001
5f047d44d191116edb3cb798,4,0.5,0.6687,0.859,0.8539574468085105,0.928,0.6673,0.8712,0.8599021276595746,0.9339000000000001
60ddc4cc0a3f074060092937,0,0.5,0.6704000000000001,0.864,0.8619361702127657,0.932,0.6704000000000001,0.864,0.8619361702127657,0.932
60ddc4cc0a3f074060092937,1,0.5,0.6734,0.875,0.8735319148936173,0.93025,0.6719,0.8694999999999999,0.8677340425531914,0.931125
60ddc4cc0a3f074060092937,2,0.5,0.6713,0.86,0.8552553191489354,0.9285,0.6717000000000001,0.8663333333333334,0.8635744680851061,0.93025
60ddc4cc0a3f074060092937,3,0.5,0.6627000000000001,0.88,0.8758936170212761,0.91575,0.6694500000000001,0.86975,0.8666542553191486,0.926625
60ddc4cc0a3f074060092937,4,0.5,0.6692,0.878,0.8509999999999995,0.9075,0.6694000000000001,0.8714000000000001,0.8635234042553188,0.9228
60ddc4cc0a3f074060092937,5,0.5,0.6612,0.869,0.8741063829787217,0.9075,0.6680333333333334,0.871,0.8652872340425527,0.9202499999999999
60ddc4cc0a3f074060092937,6,0.5,0.6582999999999999,0.874,0.874425531914894,0.918,0.6666428571428572,0.8714285714285713,0.8665927051671728,0.9199285714285714
60ddc4cc0a3f074060092937,7,0.5,0.6541,0.883,0.8712765957446807,0.91,0.665075,0.872875,0.8671781914893613,0.9186875
60ddc4cc0a3f074060092937,8,0.5,0.6658,0.863,0.8711063829787229,0.9,0.6651555555555555,0.8717777777777778,0.8676146572104015,0.916611111111111
60ddc4cc0a3f074060092937,9,0.5,0.669,0.855,0.8794255319148935,0.90425,0.66554,0.8701000000000001,0.8687957446808507,0.915375
